1110;285839
1120;1950451
1130;111214085
1140;52904831
1150;5584115621
1170;2022473858
1180;11177811
1190;27825257
1100;7811947753
1210;337126600
1220;47176092
1230;2306461661
1240;31385279
1250;506070691
1260;5945246
1200;3234165569
1600;11046113322
1310;118367564
1320;0
1340;4326249876
1350;0
1360;8636001
1370;4079078374
1380;0
1300;8532331815
1410;1017856940
1420;316730006
1430;0
1450;3786251
1400;1338373197
1510;650334159
1520;502010075
1530;508616
1540;22555460
1550;0
1500;1175408310
1700;11046113322
2110;1189064141
2120;-510736610
2100;678327531
2210;-298699541
2220;-11107015
2200;368520975
2310;882177
2320;5125287
2330;-20553200
2340;715708725
2350;-847652805
2300;222031159
2405;-29588933
2410;-29588933
2430;-25624703
2450;-4301004
2460;-15632
2400;162500887
