1110;282915
1120;1725594
1130;116409608
1140;55601034
1150;5486350416
1170;2027702059
1180;6598435
1190;27272767
1100;7721942828
1210;397428131
1220;51724628
1230;2219420635
1240;37659614
1250;532750624
1260;2729391
1200;3241713023
1600;10963655851
1310;118367564
1320;0
1340;4326107613
1350;0
1360;8636001
1370;3901259474
1380;0
1300;8354370652
1410;911902111
1420;318705565
1430;0
1450;3662338
1400;1234270014
1510;679302970
1520;687133172
1530;0
1540;8579043
1550;0
1500;1375015185
1700;10963655851
2110;2111605635
2120;-979986131
2100;1131619504
2210;-515488267
2220;-25116000
2200;591015237
2310;27390923
2320;9836803
2330;-39468229
2340;1576064395
2350;-1882314547
2300;282524582
2405;-79511834
2410;-79511834
2430;-27600262
2450;-8879748
2460;-11543721
2400;154989017
